Transaction Date and Time,Package Name,Reservation Date,Total Transaction Amount,Number of Adults,Number of Kids,Total Number of Tickets,Scanned/Not Scanned,,,
8/25/2020 8:01:30 PM,Sunset Cruise - Premium Admission,2020-09-06 18:30,275.7271,5,2,7,Not Scanned,Sunset Cruise , Premium Admission,
8/25/2020 8:01:30 PM,Sunset Cruise - Premium Admission,2020-09-06 18:30,275.7271,5,2,7,Not Scanned,Sunset Cruise , Premium Admission,
8/25/2020 8:01:30 PM,Sunset Cruise - Premium Admission,2020-09-06 18:30,275.7271,5,2,7,Not Scanned,Sunset Cruise , Premium Admission,
8/25/2020 8:01:30 PM,Sunset Cruise - Premium Admission,2020-09-06 18:30,275.7271,5,2,7,Not Scanned,Sunset Cruise , Premium Admission,
8/26/2020 1:01:28 AM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/26/2020 1:01:28 AM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/26/2020 1:01:28 AM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/26/2020 1:01:28 AM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/26/2020 7:31:52 PM,Sunset Cruise - Premium Admission,2020-08-28 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/26/2020 7:31:52 PM,Sunset Cruise - Premium Admission,2020-08-28 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/26/2020 7:31:52 PM,Sunset Cruise - Premium Admission,2020-08-28 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/26/2020 7:31:52 PM,Sunset Cruise - Premium Admission,2020-08-28 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/27/2020 5:15:55 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/27/2020 5:15:55 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/27/2020 5:15:55 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/27/2020 5:15:55 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/28/2020 1:28:55 PM,Sunset Cruise - Premium Admission,2020-09-25 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/28/2020 1:28:55 PM,Sunset Cruise - Premium Admission,2020-09-25 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/28/2020 1:28:55 PM,Sunset Cruise - Premium Admission,2020-09-25 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/30/2020 5:13:24 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/30/2020 5:13:24 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/30/2020 5:13:24 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
8/30/2020 5:13:24 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/2/2020 11:55:43 PM,Sunset Cruise - Premium Admission,2020-09-27 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/2/2020 11:55:43 PM,Sunset Cruise - Premium Admission,2020-09-27 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/2/2020 11:55:43 PM,Sunset Cruise - Premium Admission,2020-09-27 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 11:20:46 AM,Sunset Cruise - Premium Admission,2020-11-06 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/3/2020 11:20:46 AM,Sunset Cruise - Premium Admission,2020-11-06 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/3/2020 11:20:46 AM,Sunset Cruise - Premium Admission,2020-11-06 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/3/2020 11:20:46 AM,Sunset Cruise - Premium Admission,2020-11-06 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/3/2020 1:17:22 PM,Sunset Cruise - Premium Admission,2020-09-18 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 1:17:22 PM,Sunset Cruise - Premium Admission,2020-09-18 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 1:17:22 PM,Sunset Cruise - Premium Admission,2020-09-18 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 1:17:22 PM,Sunset Cruise - Premium Admission,2020-09-18 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 7:57:29 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 7:57:29 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 7:57:29 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 7:57:29 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 8:09:49 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,185.578613,2,3,5,Not Scanned,Sunset Cruise , Premium Admission,
9/3/2020 8:09:49 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,185.578613,2,3,5,Not Scanned,Sunset Cruise , Premium Admission,
9/3/2020 8:09:49 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,185.578613,2,3,5,Not Scanned,Sunset Cruise , Premium Admission,
9/3/2020 8:09:49 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,185.578613,2,3,5,Not Scanned,Sunset Cruise , Premium Admission,
9/3/2020 11:51:08 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,124.370202,3,0,3,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 11:51:08 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,124.370202,3,0,3,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 11:51:08 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,124.370202,3,0,3,Scanned,Sunset Cruise , Premium Admission,
9/3/2020 11:51:08 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,124.370202,3,0,3,Scanned,Sunset Cruise , Premium Admission,
9/4/2020 12:07:56 PM,Sunset Cruise - Premium Admission,2020-09-04 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/4/2020 12:07:56 PM,Sunset Cruise - Premium Admission,2020-09-04 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/4/2020 12:07:56 PM,Sunset Cruise - Premium Admission,2020-09-04 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/4/2020 12:07:56 PM,Sunset Cruise - Premium Admission,2020-09-04 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/4/2020 11:31:58 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/4/2020 11:31:58 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/4/2020 11:31:58 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/4/2020 11:31:58 PM,Sunset Cruise - Premium Admission,2020-09-05 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/5/2020 1:58:40 AM,Sunset Cruise - Premium Admission,2020-09-13 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/5/2020 1:58:40 AM,Sunset Cruise - Premium Admission,2020-09-13 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/5/2020 1:58:40 AM,Sunset Cruise - Premium Admission,2020-09-13 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/5/2020 1:58:40 AM,Sunset Cruise - Premium Admission,2020-09-13 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/5/2020 2:45:53 PM,Sunset Cruise - Premium Admission,,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/5/2020 2:52:18 PM,Sunset Cruise - Premium Admission,,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 8:33:52 AM,Sunset Cruise - Premium Admission,2020-09-13 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 8:33:52 AM,Sunset Cruise - Premium Admission,2020-09-13 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 8:33:52 AM,Sunset Cruise - Premium Admission,2020-09-13 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 8:33:52 AM,Sunset Cruise - Premium Admission,2020-09-13 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 10:57:32 AM,Sunset Cruise - Premium Admission,2020-09-06 18:30,275.7271,5,2,7,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 10:57:32 AM,Sunset Cruise - Premium Admission,2020-09-06 18:30,275.7271,5,2,7,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 10:57:32 AM,Sunset Cruise - Premium Admission,2020-09-06 18:30,275.7271,5,2,7,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 10:57:32 AM,Sunset Cruise - Premium Admission,2020-09-06 18:30,275.7271,5,2,7,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 3:45:29 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 3:45:29 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 3:45:29 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 3:45:29 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 3:52:23 PM,Sunset Cruise - Premium Admission,,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 5:07:32 PM,Sunset Cruise - Premium Admission,2020-10-18 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/6/2020 5:07:32 PM,Sunset Cruise - Premium Admission,2020-10-18 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/6/2020 5:07:32 PM,Sunset Cruise - Premium Admission,2020-10-18 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/6/2020 8:12:21 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,158.591917,3,1,4,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 8:12:21 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,158.591917,3,1,4,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 8:12:21 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,158.591917,3,1,4,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 8:12:21 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,158.591917,3,1,4,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 9:01:15 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 9:01:15 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 9:01:15 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 9:01:15 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 9:42:53 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 9:42:53 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 9:42:53 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
9/6/2020 9:42:53 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
9/7/2020 11:05:38 AM,Sunset Cruise - Premium Admission,2020-09-07 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/7/2020 11:05:38 AM,Sunset Cruise - Premium Admission,2020-09-07 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/7/2020 11:05:38 AM,Sunset Cruise - Premium Admission,2020-09-07 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/7/2020 11:05:38 AM,Sunset Cruise - Premium Admission,2020-09-07 18:30,41.456734,1,0,1,Scanned,Sunset Cruise , Premium Admission,
9/7/2020 12:12:40 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/7/2020 12:12:40 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/7/2020 12:12:40 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/7/2020 12:12:40 PM,Sunset Cruise - Premium Admission,2020-09-07 18:30,117.135183,2,1,3,Scanned,Sunset Cruise , Premium Admission,
9/8/2020 1:29:41 PM,Sunset Cruise - Premium Admission,2020-09-27 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/8/2020 1:29:41 PM,Sunset Cruise - Premium Admission,2020-09-27 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/8/2020 1:29:41 PM,Sunset Cruise - Premium Admission,2020-09-27 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/9/2020 10:00:35 AM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/9/2020 10:00:35 AM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/9/2020 10:00:35 AM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/9/2020 10:00:35 AM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/9/2020 5:16:15 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,165.826936,4,0,4,Not Scanned,Sunset Cruise , Premium Admission,
9/9/2020 5:16:15 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,165.826936,4,0,4,Not Scanned,Sunset Cruise , Premium Admission,
9/9/2020 5:16:15 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,165.826936,4,0,4,Not Scanned,Sunset Cruise , Premium Admission,
9/9/2020 5:16:15 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,165.826936,4,0,4,Not Scanned,Sunset Cruise , Premium Admission,
9/9/2020 11:00:30 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/9/2020 11:00:30 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/9/2020 11:00:30 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/9/2020 11:00:30 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
9/10/2020 6:36:21 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/10/2020 6:36:21 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/10/2020 6:36:21 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/10/2020 6:36:21 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 1:17:37 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 1:17:37 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 1:17:37 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 1:17:37 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 2:39:06 PM,Sunset Cruise - Premium Admission,2020-09-19 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 2:39:06 PM,Sunset Cruise - Premium Admission,2020-09-19 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 2:39:06 PM,Sunset Cruise - Premium Admission,2020-09-19 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 2:39:06 PM,Sunset Cruise - Premium Admission,2020-09-19 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 5:02:13 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 5:02:13 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 5:02:13 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 5:02:13 PM,Sunset Cruise - Premium Admission,2020-09-11 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 10:23:59 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 10:23:59 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 10:23:59 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/11/2020 10:23:59 PM,Sunset Cruise - Premium Admission,2020-09-12 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
9/12/2020 8:30:46 AM,Sunset Cruise - Premium Admission,2020-09-13 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
